40N||1||1||10	LIBRO de la generacion de Jesu-Cristo, hijo de David, hijo de Abraham.
44N||15||32||43300	Júdas tambien y Silas, como ellos tambien eran profetas, consolaron y confirmaron los hermanos con abundancia de palabra. 
44N||15||33||43310	Y pasando [allí] algun tiempo, fueron enviados de los hermanos á los apóstoles en paz. 
44N||15||34||43320	Mas á Silas pareció bien de quedarse allí. 
44N||15||35||43330	Y Pablo y Bernabé se estaban en Antioquia enseñando la palabra del Señor, y anunciando el Evangelio con otros muchos. 
44N||15||36||43340	Y despues de algunos dias Pablo dijo á Bernabé: Volvamos á visitar los hermanos por todas las ciudades en las cuales hemos anunciado la palabra del Señor, cómo están. 
44N||15||37||43350	Y Bernabé queria que tomasen consigo á Juan, el que tenia por sobrenombre Marcos; 
44N||15||38||43360	Mas á Pablo no le parecia bien llevar consigo al que se habia apartado de ellos desde Pamphylia, y no habia ido con ellos á la obra. 
44N||15||39||43370	Y hubo tal contencion entre ellos, que se apartaron el uno del otro; y Bernabé tomando á Marcos, navegó á Cipro, 
44N||15||40||43380	Y Pablo escogiendo á Silas, partió encomendado de los hermanos á la gracia del Señor. 
44N||15||41||43390	Y anduvo la Siria y la Cilicia confirmando las iglesias.
44N||16||1||43400	DESPUES llegó á Derbe, y á Listra: y hé aquí, estaba allí un discípulo, llamado Timotéo, hijo de una mujer Judía fiel, mas de padre Griego:
44N||16||2||43410	De este daban buen testimonio los hermanos que estaban en Listra y en Iconio.
44N||16||3||43420	Este quiso Pablo que fuese con él; y tomándo[le,] le circuncidó por causa de los Judíos que estaban en aquellos lugares; porque todos sabian que su padre era Griego.
44N||16||4||43430	Y como pasaban por las ciudades, les daban que guardasen los decretos que habian sido determinados por los apóstoles y los ancianos que estaban en Jerusalem.
44N||16||5||43440	Así que, las iglesias eran confirmadas en fé, y eran aumentadas en número cada dia.
44N||16||6||43450	Y pasando á Phrygia, y la provincia de Galacia, les fué prohibido por el Espíritu Santo hablar la palabra en Asia.
44N||16||7||43460	Y como vinieron á Misia, tentaron de ir á Bitinia; mas el Espíritu no les dejó [ir.]
44N||16||8||43470	Y pasando á Misia, descendieron á Troas.
44N||16||9||43480	Y fué mostrado á Pablo de noche una vision: Un varon Macedonio se puso delante, rogándole, y diciendo: Pasa á Macedonia, y ayúdanos. 
44N||16||10||43490	Y como vió la vision, luego procuramos partir á Macedonia, dando por cierto que Dios nos llamaba para que les anunciásemos el Evangelio. 
44N||16||11||43500	Partidos pues de Troas, vinimos camino derecho á Samotracia, y el dia siguiente á Nápoles: 
44N||16||12||43510	Y de allí á Filipos, que es la primera ciudad de la parte de Macedonia, [y] una colonia; y estuvimos en aquella ciudad algunos dias. 
44N||16||13||43520	Y un dia de Sábado salimos de la puerta junto al rio, donde solia ser la oracion; y sentándonos hablamos á las mujeres que se habian juntado. 
44N||16||14||43530	Entónces una mujer, llamada Lidia, que vendia púrpura en la ciudad de Tiatira, temerosa de Dios, estaba oyendo; el corazon de la cual abrió el Señor para que estuviese atenta á lo que Pablo decia. 
44N||16||15||43540	Y cuando fué bautizada, y su familia, [nos] rogó, diciendo: Si habeis juzgado que yo sea fiel al Señor, entrad en mi casa, y posad: y constriñiónos. 
44N||16||16||43550	Y aconteció, que yendo nosotros á la oracion, una muchacha que tenia espíritu pitónico, nos salió al encuentro, la cual daba grande ganancia á sus amos adivinando. 
44N||16||17||43560	Esta, siguiendo á Pablo, y á nosotros, daba voces diciendo: Estos hombres son siervos del Dios Alto, los cuales os anuncian el camino de salud. 
44N||16||18||43570	Y esto hacia por muchos dias: mas desagradando á Pablo, se volvió, y dijo al espíritu; Te mando, en el nombre de Jesu-Cristo, que salgas de ella. Y salió en la misma hora. 
44N||16||19||43580	Y viendo sus amos que habia salido la esperanza de su ganancia, prendieron á Pablo y á Silas, y los trajeron al foro, al magistrado. 
44N||16||20||43590	Y presentándolos á los magistrados, dijeron: Estos hombres, siendo Judíos, alborotan nuestra ciudad. 
44N||16||21||43600	Y predican ritos, los cuales no nos es lícito recibir ni hacer, pues somos Romanos. 
44N||16||22||43610	Y agolpóse el pueblo contra ellos; y los magistrados rompiéndoles sus ropas, [los] mandaron azotar con varas. 
44N||16||23||43620	Y despues que los hubieron herido de muchos azotes, los echaron en la cárcel, mandando al carcelero que los guardase con diligencia. 
44N||16||24||43630	El cual recibido este mandamiento, los metió en la cárcel de más adentro, y les apretó los piés en el cepo. 
44N||16||25||43640	Mas á media noche orando Pablo y Silas, cantaban himnos á Dios; y los que estaban presos los oian. 
44N||16||26||43650	Entónces fué hecho de repente un gran terremoto, de tal manera que los cimientos de la cárcel se movian; y luego todas las puertas se abrieron, y las prisiones de todos se soltaron. 
44N||16||27||43660	Y despertado el carcelero, como vió abiertas las puertas de la cárcel, sacando la espada se queria matar, pensando que los presos se habian huido. 
44N||16||28||43670	Mas Pablo clamo á gran voz diciendo: No te hagas ningun mal; que todos estamos aquí. 
44N||16||29||43680	El entónces pidiendo luz, entró dentro, y temblando, derribóse á los piés de Pablo y de Silas; 
44N||16||30||43690	Y sacándoles fuera, les dice: Señores: ¿Qué es menester que yo haga para ser salvo? 
44N||16||31||43700	Y ellos [le] dijeron: Crée en el Señor Jesu-Cristo, y serás salvo tú, y tu casa. 
44N||16||32||43710	Y le hablaron la palabra del Señor, y á todos los que estaban en su casa. 
44N||16||33||43720	Y tomándolos en aquella misma hora de la noche, les lava los azotes; y se bautizó luego él, y todos los suyos. 
44N||16||34||43730	Y llevándolos á su casa, les puso la mesa; y se gozó de que con toda su casa habia creido á Dios. 
44N||16||35||43740	Y como fué de dia, los magistrados enviaron los alguaciles, diciendo: Deja ir á aquellos hombres. 
44N||16||36||43750	Y el carcelero hizo saber estas palabras á Pablo: los magistrados han enviado [á decir] que seais sueltos: así que ahora salid, é id en paz. 
44N||16||37||43760	Entónces Pablo les dijo: Azotados públicamente, sin ser condenados, siendo hombres Romanos, nos echaron en la cárcel; ¿y ahora nos echan encubiertamente? No de cierto, sino vengan ellos y sáquennos. 
44N||16||38||43770	Y los alguaciles volvieron á decir á los magistrados estas palabras: y tuvieron miedo, oido que eran Romanos. 
44N||16||39||43780	Y viniendo les rogaron; y sacándolos, les pidieron que saliesen de la ciudad. 
44N||16||40||43790	Entónces salidos de la cárcel, entraron en [casa de] Lidia; y habiendo visto á los hermanos, los consolaron, y se salieron.
44N||17||1||43800	Y PASANDO por Anfípolis y Apolonia, llegaron á Tesalónica, donde estaba la sinagoga de Judíos.
44N||17||2||43810	Y Pablo, como acostumbraba, entró á ellos, y por tres Sábados disputó con ellos de las escrituras,
44N||17||3||43820	Declarando y proponiendo, que convenia que el Cristo padeciese, y resucitase de los muertos; y que Jesus (el cual yo os anuncio, [decia él]) este era el Cristo.
44N||17||4||43830	Y algunos de ellos creyeron, y se juntaron con Pablo y con Silas; y de los Griegos religiosos grande multitud, y mujeres nobles no pocos.
44N||17||5||43840	Entónces los Judíos que eran incrédulos, teniendo zelos, tomaron consigo á algunos ociosos, malos hombres, y juntando compañía, alborotaron la ciudad; y acometiendo la casa de Jason procuraban sacarlos al pueblo.
44N||17||6||43850	Mas no hallándolos, trajeron á Jason, y á algunos hermanos á los gobernadores de la ciudad, dando voces: Estos que alborotan el mundo, tambien han venido acá;
44N||17||7||43860	A los cuales Jason ha recibido: y todos estos hacen contra los decretos de Cesar, diciendo que hay otro rey, Jesus.
44N||17||8||43870	Y alborotaron el pueblo y á los gobernadores de la ciudad, oyendo estas cosas.
44N||17||9||43880	Mas recibida satisfaccion de Jason y de los demás, los soltaron. 
44N||17||10||43890	Entónces los hermanos luego de noche enviaron á Pablo y á Silas á Beréa; los cuales habiendo llegado, entraron en la sinagoga de los Judíos. 
44N||17||11||43900	Y fueron estos más nobles que los que [estaban] en Tesalónica, pues recibieron la palabra con toda solicitud escudriñando cada dia las escrituras, si estas cosas eran así. 
44N||17||12||43910	Así que creyeron muchos de ellos; y mujeres Griegas de distincion, y no pocos hombres. 
44N||17||13||43920	Mas como entendieron los Judíos de Tesalónica que tambien en Beréa era anunciada la palabra de Dios por Pablo, fueron, y tambien allí tumultuaron el pueblo. 
44N||17||14||43930	Empero luego los hermanos enviaron á Pablo que fuese como á la mar; y Silas y Timotéo se quedaron allí. 
44N||17||15||43940	Y los que habian tomado á cargo á Pablo, le llevaron hasta Atenas; y tomando encargo [de él] para Silas y Timotéo, que viniesen á él lo más presto que pudiesen, partieron. 
44N||17||16||43950	Y esperándolos Pablo en Atenas su espíritu se deshacia en él, viendo la ciudad dada á idolatría. 
44N||17||17||43960	Así que disputaba en la sinagoga con los Judíos y religiosos; y en la plaza cada dia con los que le ocurrian. 
44N||17||18||43970	Y algunos filósofos de los Epicureos y de los Estóicos disputaban con él; y unos decian: ¿Qué quiere decir este palabrero? Y otros: Parece que es predicador de nuevos dioses; porque les predicaba á Jesus, y la resurreccion. 
44N||17||19||43980	Y tomándole, le trajeron al Areópago, diciendo: ¿Podrémos saber qué sea esta nueva doctrina que dices? 
44N||17||20||43990	Porque pones en nuestros oidos unas nuevas cosas: queremos pues saber qué quiere ser esto. 
44N||17||21||44000	Entónces todos los Atenienses, y los huéspedes extranjeros, en ninguna otra cosa entendian sino, ó en decir, ó en oir alguna cosa nueva. 
44N||17||22||44010	Estando pues Pablo en medio del Areópago, dijo: Varones Atenienses, en todo os veo como más supersticiosos. 
44N||17||23||44020	Porque pasando y mirando vuestros santuarios, hallé tambien un altar en el cual estaba esta inscripcion: AL DIOS NO CONOCIDO. Aquel pues, que vosotros honrais sin conocerle, á este os anuncio yo. 
44N||17||24||44030	El Dios que hizo el mundo, y todas las cosas que en él [hay,] ese, como sea Señor del cielo, y de la tierra, no habita en templos hechos de manos, 
44N||17||25||44040	Ni es honrado con manos de hombres, necesitado de algo: pues él da á todos vida y respiracion, y todas las cosas. 
44N||17||26||44050	Y de una sangre ha hecho [venir] todo el linaje de los hombres, para que habitasen sobre toda la faz de la tierra y [les] ha prefijado el órden de los tiempos, y los términos de la habitacion de ellos; 
44N||17||27||44060	Para que buscasen á Dios, si en alguna manera palpando le hallan; aunque cierto no está lejos de cada uno de nosotros: 
44N||17||28||44070	Porque en él vivimos, y nos movemos, y somos; como tambien algunos de vuestros poetas dijeron: Porque linaje de este somos tambien. 
44N||17||29||44080	Siendo pues linaje de Dios, no hemos de estimar la Divinidad ser semejante á oro, ó á plata, ó á piedra, ó á escultura de artificio, ó de imaginacion de hombres. 
44N||17||30||44090	Empero Dios, habiendo disimulado los tiempos de esta ignorancia, ahora denuncia á todos los hombres en todos lugares que se arrepientan: 
44N||17||31||44100	Por cuanto ha establecido un dia, en el cual ha de juzgar al mundo con justicia por aquel varon al cual determinó, dando fé á todos con haberle levantado de los muertos. 
44N||17||32||44110	Y así que oyeron la resurreccion de los muertos, unos se burlaban, y otros decian: Te oirémos acerca de esto otra vez. 
44N||17||33||44120	Y así Pablo se salió de en medio de ellos. 
44N||17||34||44130	Mas algunos creyeron juntándose con él; entre los cuales tambien [fué] Dionisio el del Areópago, y una mujer llamada Dámaris, y otros con ellos.
44N||18||1||44140	PASADAS estas cosas, Pablo partió de Atenas, y vino á Corinto.
44N||18||2||44150	Y hallando á un Judío llamado Aquila, natural del Ponto, que hacia poco que habia venido de Italia, y á Priscila su mujer, (porque Claudio habla mandado que todos los Judíos saliesen de Roma) se vino á ellos:
44N||18||3||44160	Y porque era de su oficio, posó con ellos, y trabajaba: porque el oficio de ellos era hacer tiendas.
44N||18||4||44170	Y disputaba en la sinagoga, todos los Sábados, y persuadia á Judíos, y á Griegos.
44N||18||5||44180	Y cuando Silas y Timoteo vinieron de Macedonia, Pablo estaba constreñido del espíritu, testificando á los Judíos que Jesus [era] el Cristo.
44N||18||6||44190	Mas contradiciendo y blasfemando ellos, les dijo, sacudiendo sus vestidos: Vuestra sangre [sea] sobre vuestra cabeza: yo, limpio; desde ahora me iré á los Gentiles.
44N||18||7||44200	Y partiendo de allí, entró en casa de uno llamado Justo, temeroso de Dios, la casa del cual estaba junto á la sinagoga.
44N||18||8||44210	Y Crispo, el prepósito de la sinagoga, creyó al Señor con toda su casa: y muchos de los Corintios oyendo, creian, y eran bautizados.
44N||18||9||44220	Entónces el Señor dijo de noche en vision á Pablo: No temas, sino habla, y no calles. 
44N||18||10||44230	Porque yo estoy contigo, y ninguno te podrá hacer mal; porque yo tengo mucho pueblo en esta ciudad. 
44N||18||11||44240	Y se detuvo [allí] un año y seis meses, enseñándoles la palabra de Dios: 
44N||18||12||44250	Y siendo Galion procónsul de Achaia, los Judíos se levantaron de comun acuerdo contra Pablo, y le llevaron al tribunal, 
44N||18||13||44260	Diciendo: Que este persuade á los hombres honrar á Dios contra la ley. 
44N||18||14||44270	Y comenzando Pablo á abrir la boca, Galion dijo á los Judíos: Si fuera algun agravio, ó algun crimen enorme, oh Judíos, conforme á derecho yo os tolerara; 
44N||18||15||44280	Mas si son cuestiones de palabras y de nombres, y de vuestra ley, vedlo vosotros, yo no quiero ser juez de estas cosas. 
44N||18||16||44290	Y les echó del tribunal. 
